incident,latitude,longitude
2019-09-04 17:00:00,28.527926,77.220591
2018-01-10 19:00:00,28.643303000000003,77.179705
2018-06-30 16:00:00,28.632986,77.219374
2018-08-07 19:00:00,28.683396,77.208465
2018-03-06 19:00:00,28.68045900000001,77.215037
2017-12-22 13:33:00,28.704059,77.10249
2018-01-31 10:01:00,28.684843,77.21646
2018-01-25 17:42:00,28.704059,77.10249
2018-01-23 12:57:00,28.704059,77.10249
2018-01-23 12:55:00,28.704059,77.10249
2018-01-24 12:54:00,28.704059,77.10249
2018-01-23 12:52:00,28.704059,77.10249
2018-01-23 12:51:00,28.704059,77.10249
2018-01-24 12:43:00,28.704059,77.10249
2017-07-03 21:00:00,28.547367,77.22629599999998
2017-10-04 13:56:00,28.704059,77.10249
2017-02-28 20:00:00,28.536316,77.221834
2016-10-28 17:00:00,28.685436,77.20658399999998
2016-12-28 17:00:00,28.53352000000001,77.210886
2016-07-28 23:00:00,28.680911,77.204587
2016-08-28 08:00:00,28.641646,77.295307
2016-08-28 17:00:00,28.676739,77.208653
2016-09-28 18:00:00,28.681945,77.21633100000003
2017-02-20 03:00:00,28.680911,77.204587
2017-08-02 18:00:00,28.687651,77.21028199999998
2016-12-28 06:00:00,28.685436,77.20658399999998
2016-08-28 12:00:00,28.648201,77.226954
2017-02-28 18:00:00,28.687651,77.21028199999998
2016-08-09 12:00:00,28.631451,77.216667
2016-08-28 15:00:00,28.666571,77.229068
2017-01-14 16:00:00,28.617857,77.207219
2017-02-28 18:00:00,28.613939,77.20902099999998
2016-12-22 22:00:00,28.631724,77.217364
2016-12-28 17:00:00,28.553212,77.174482
2016-10-28 13:00:00,28.696606,77.091976
2017-03-29 01:22:00,28.709555,77.105988
2017-03-29 01:01:00,28.616067,77.177945
2017-02-28 15:00:00,28.676739,77.208653
2016-10-28 19:00:00,28.681945,77.21633100000003
2016-12-28 16:00:00,28.700368,77.22075699999998
2017-02-28 18:00:00,28.680911,77.204587
2017-02-28 18:30:00,28.694594,77.20530500000002
2016-08-15 21:00:00,28.687036,77.20494599999998
2017-02-28 18:00:00,28.694594,77.20530500000002
2016-01-28 20:00:00,28.692867,77.210201
2016-08-28 18:00:00,28.632862,77.219542
2016-06-28 18:00:00,28.632862,77.219542
2016-12-28 09:00:00,28.639268,77.20845
2016-11-28 14:00:00,28.684237,77.211
2016-12-23 18:00:00,28.69520300000001,77.213938
2016-09-28 15:00:00,28.632104,77.218712
2017-04-01 18:00:00,28.632104,77.218712
2017-02-28 15:00:00,28.632862,77.219542
2017-02-28 13:00:00,28.682427,77.204753
2017-01-24 18:00:00,28.680911,77.204587
2017-06-03 21:00:00,28.689626,77.206385
2017-02-14 13:00:00,28.632976,77.219433
